Time (min),Force (N),Position (mm)
1.76,3580,4.4722
1.77,3580,4.4784
1.77,3590,4.4845
1.77,3590,4.4907
1.77,3590,4.4964
1.78,3590,4.5019
1.78,3590,4.5076
1.78,3590,4.5138
1.78,3590,4.5199
1.79,3590,4.5260
1.79,3590,4.5321
1.79,3590,4.5377
1.79,3590,4.5433
1.79,3590,4.5491
1.80,3590,4.5553
1.80,3600,4.5614
1.80,3600,4.5676
1.80,3600,4.5736
1.81,3600,4.5791
1.81,3600,4.5848
1.81,3600,4.5907
1.81,3600,4.5969
1.82,3600,4.6030
1.82,3600,4.6092
1.82,3600,4.6150
1.82,3600,4.6205
1.82,3600,4.6262
1.83,3600,4.6324
1.83,3610,4.6385
1.83,3610,4.6446
1.83,3610,4.6508
1.84,3610,4.6564
1.84,3610,4.6619
1.84,3610,4.6678
1.84,3610,4.6740
1.85,3610,4.6800
1.85,3610,4.6862
1.85,3610,4.6923
1.85,3610,4.6978
1.86,3610,4.7034
1.86,3610,4.7092
1.86,3620,4.7154
1.86,3620,4.7216
1.86,3620,4.7278
1.87,3620,4.7337
1.87,3620,4.7392
1.87,3620,4.7448
1.87,3620,4.7509
1.88,3620,4.7571
1.88,3620,4.7633
1.88,3620,4.7694
1.88,3620,4.7752
1.89,3620,4.7806
1.89,3620,4.7864
1.89,3620,4.7925
1.89,3630,4.7987
1.89,3630,4.8048
1.90,3630,4.8109
1.90,3630,4.8165
1.90,3630,4.8220
1.90,3630,4.8278
1.91,3630,4.8340
1.91,3630,4.8401
1.91,3630,4.8464
1.91,3630,4.8523
1.92,3630,4.8579
1.92,3630,4.8635
1.92,3630,4.8694
1.92,3630,4.8757
1.93,3640,4.8817
1.93,3640,4.8879
1.93,3640,4.8937
1.93,3630,4.8993
1.93,3640,4.9049
1.94,3640,4.9110
1.94,3640,4.9171
1.94,3640,4.9233
1.94,3640,4.9295
1.95,3640,4.9351
1.95,3640,4.9407
1.95,3640,4.9464
1.95,3640,4.9526
1.96,3640,4.9587
1.96,3640,4.9649
1.96,3640,4.9710
1.96,3640,4.9766
1.96,3640,4.9822
1.97,3640,4.9880
1.97,3650,4.9942
1.97,3650,5.0003
1.97,3650,5.0065
1.98,3650,5.0124
1.98,3650,5.0179
1.98,3650,5.0236
1.98,3650,5.0295
1.99,3650,5.0358
1.99,3650,5.0419
1.99,3650,5.0481
1.99,3650,5.0539
2.00,3650,5.0594
2.00,3650,5.0651
2.00,3650,5.0712
2.00,3650,5.0773
2.00,3660,5.0835
2.01,3660,5.0897
2.01,3660,5.0953
2.01,3660,5.1008
2.01,3660,5.1066
2.02,3660,5.1128
2.02,3660,5.1189
2.02,3660,5.1250
2.02,3660,5.1311
2.03,3660,5.1367
2.03,3660,5.1422
2.03,3660,5.1481
2.03,3660,5.1543
2.03,3660,5.1604
2.04,3660,5.1666
2.04,3660,5.1725
2.04,3660,5.1780
2.04,3660,5.1837
2.05,3660,5.1897
2.05,3660,5.1959
2.05,3670,5.2020
2.05,3670,5.2082
2.06,3670,5.2139
2.06,3670,5.2194
2.06,3670,5.2252
2.06,3670,5.2314
2.07,3670,5.2375
2.07,3670,5.2436
2.07,3670,5.2498
2.07,3670,5.2553
2.07,3670,5.2608
2.08,3670,5.2667
2.08,3670,5.2729
2.08,3670,5.2790
2.08,3670,5.2852
2.09,3670,5.2912
2.09,3670,5.2967
2.09,3670,5.3023
2.09,3670,5.3082
2.10,3670,5.3145
2.10,3680,5.3206
2.10,3680,5.3268
2.10,3680,5.3326
2.10,3680,5.3381
2.11,3680,5.3438
2.11,3680,5.3499
2.11,3680,5.3560
2.11,3680,5.3621
2.12,3680,5.3682
