Time (min),Force (N),Position (mm)
2.34,314,5.9424
2.35,313,5.9516
2.35,314,5.9607
2.35,314,5.9694
2.36,314,5.9783
2.36,314,5.9873
2.36,314,5.9967
2.37,314,6.0054
2.37,314,6.0142
2.37,314,6.0232
2.38,314,6.0324
2.38,314,6.0415
2.38,314,6.0501
2.39,314,6.0591
2.39,314,6.0681
2.40,315,6.0775
2.40,314,6.0862
2.40,314,6.0950
2.41,314,6.1040
2.41,314,6.1133
2.41,314,6.1223
2.42,314,6.1310
2.42,315,6.1399
2.42,315,6.1490
2.43,315,6.1583
2.43,314,6.1670
2.43,315,6.1759
2.44,314,6.1848
2.44,315,6.1942
2.45,315,6.2031
2.45,315,6.2118
2.45,315,6.2208
2.46,315,6.2299
2.46,315,6.2392
2.46,315,6.2479
2.47,315,6.2567
2.47,315,6.2657
2.47,315,6.2750
2.48,315,6.2840
2.48,315,6.2927
2.48,315,6.3016
2.49,315,6.3106
2.49,315,6.3200
2.49,315,6.3286
2.50,315,6.3375
2.50,315,6.3465
2.51,315,6.3558
2.51,315,6.3647
2.51,315,6.3734
2.52,315,6.3824
2.52,316,6.3915
2.52,316,6.4008
2.53,315,6.4095
2.53,315,6.4184
2.53,316,6.4273
2.54,316,6.4367
2.54,316,6.4456
2.54,316,6.4543
2.55,316,6.4633
2.55,316,6.4724
2.55,316,6.4817
2.56,316,6.4904
2.56,316,6.4992
2.57,316,6.5082
2.57,316,6.5176
2.57,316,6.5264
2.58,316,6.5351
2.58,316,6.5442
2.58,316,6.5534
2.59,316,6.5626
2.59,316,6.5713
2.59,316,6.5801
2.60,316,6.5891
2.60,317,6.5985
2.60,317,6.6073
2.61,317,6.6160
2.61,317,6.6249
2.61,317,6.6341
2.62,317,6.6433
2.62,317,6.6520
2.63,317,6.6609
2.63,317,6.6699
2.63,317,6.6793
2.64,317,6.6881
2.64,317,6.6969
2.64,317,6.7058
2.65,317,6.7150
2.65,317,6.7242
2.65,317,6.7329
2.66,317,6.7417
2.66,317,6.7508
2.66,317,6.7602
2.67,317,6.7689
2.67,317,6.7777
2.67,317,6.7866
2.68,318,6.7959
2.68,318,6.8050
2.69,317,6.8136
2.69,318,6.8225
2.69,318,6.8315
2.70,318,6.8409
2.70,318,6.8497
2.70,318,6.8584
2.71,318,6.8674
2.71,318,6.8766
2.71,318,6.8857
2.72,318,6.8944
2.72,318,6.9033
2.72,318,6.9123
2.73,318,6.9217
2.73,318,6.9304
2.73,318,6.9392
2.74,318,6.9482
2.74,318,6.9574
2.75,318,6.9665
2.75,318,6.9752
2.75,318,6.9841
2.76,318,6.9932
2.76,318,7.0026
2.76,318,7.0112
2.77,318,7.0201
2.77,318,7.0291
2.77,319,7.0384
2.78,319,7.0474
2.78,318,7.0561
2.78,319,7.0650
2.79,319,7.0740
2.79,318,7.0834
2.79,319,7.0921
2.80,319,7.1009
2.80,319,7.1099
2.81,319,7.1192
2.81,319,7.1282
2.81,319,7.1369
2.82,319,7.1458
2.82,319,7.1549
2.82,319,7.1642
2.83,319,7.1729
2.83,319,7.1817
2.83,319,7.1907
2.84,319,7.2000
2.84,319,7.2089
2.84,319,7.2176
2.85,319,7.2265
2.85,319,7.2356
2.85,320,7.2450
2.86,319,7.2537
2.86,319,7.2625
2.87,320,7.2715
2.87,319,7.2808
2.87,320,7.2897
2.88,320,7.2984
2.88,320,7.3074
2.88,320,7.3165
2.89,320,7.3257
2.89,320,7.3344
2.89,320,7.3432
2.90,320,7.3522
2.90,320,7.3616
2.90,320,7.3705
2.91,320,7.3792
2.91,320,7.3881
2.92,320,7.3973
2.92,320,7.4065
2.92,320,7.4152
2.93,320,7.4240
2.93,320,7.4331
2.93,320,7.4424
2.94,321,7.4513
2.94,320,7.4600
2.94,321,7.4690
2.95,321,7.4781
2.95,321,7.4873
2.95,321,7.4960
2.96,321,7.5048
2.96,321,7.5139
2.96,321,7.5232
2.97,321,7.5321
2.97,321,7.5408
2.98,321,7.5498
2.98,321,7.5589
2.98,322,7.5682
2.99,321,7.5768
2.99,321,7.5857
2.99,321,7.5947
3.00,321,7.6040
3.00,321,7.6129
3.00,321,7.6216
3.01,321,7.6306
3.01,321,7.6397
3.01,322,7.6489
3.02,321,7.6576
3.02,322,7.6665
3.02,322,7.6755
3.03,322,7.6848
3.03,322,7.6936
3.04,322,7.7024
3.04,322,7.7114
