rl	V(a)	V(b)	V(c)	I(Rlth)	I(Rl)
1.451000000000000e+03	5.329747e+00	4.327265e+00	1.002309e+00	6.907711e-04	6.908901e-04
1.461000000000000e+03	5.331981e+00	4.326251e+00	1.005557e+00	6.882662e-04	6.883848e-04
1.471000000000000e+03	5.334199e+00	4.325244e+00	1.008781e+00	6.857794e-04	6.858975e-04
1.481000000000000e+03	5.336402e+00	4.324245e+00	1.011983e+00	6.833104e-04	6.834282e-04
1.491000000000000e+03	5.338588e+00	4.323252e+00	1.015161e+00	6.808593e-04	6.809765e-04
1.501000000000000e+03	5.340759e+00	4.322267e+00	1.018317e+00	6.784255e-04	6.785425e-04
1.511000000000000e+03	5.342915e+00	4.321289e+00	1.021450e+00	6.760092e-04	6.761257e-04
1.521000000000000e+03	5.345055e+00	4.320318e+00	1.024561e+00	6.736100e-04	6.737261e-04
1.531000000000000e+03	5.347180e+00	4.319353e+00	1.027650e+00	6.712278e-04	6.713435e-04
1.541000000000000e+03	5.349290e+00	4.318396e+00	1.030717e+00	6.688624e-04	6.689776e-04
1.551000000000000e+03	5.351386e+00	4.317445e+00	1.033763e+00	6.665136e-04	6.666284e-04
1.561000000000000e+03	5.353466e+00	4.316501e+00	1.036787e+00	6.641812e-04	6.642956e-04
1.571000000000000e+03	5.355532e+00	4.315563e+00	1.039790e+00	6.618651e-04	6.619791e-04
1.581000000000000e+03	5.357584e+00	4.314632e+00	1.042772e+00	6.595650e-04	6.596787e-04
1.591000000000000e+03	5.359622e+00	4.313707e+00	1.045734e+00	6.572810e-04	6.573942e-04
1.601000000000000e+03	5.361645e+00	4.312789e+00	1.048675e+00	6.550126e-04	6.551255e-04
1.611000000000000e+03	5.363654e+00	4.311877e+00	1.051596e+00	6.527599e-04	6.528724e-04
1.621000000000000e+03	5.365650e+00	4.310971e+00	1.054497e+00	6.505226e-04	6.506348e-04
1.631000000000000e+03	5.367632e+00	4.310071e+00	1.057378e+00	6.483006e-04	6.484123e-04
1.641000000000000e+03	5.369601e+00	4.309178e+00	1.060240e+00	6.460938e-04	6.462051e-04
1.651000000000000e+03	5.371556e+00	4.308291e+00	1.063082e+00	6.439019e-04	6.440128e-04
1.661000000000000e+03	5.373498e+00	4.307410e+00	1.065905e+00	6.417249e-04	6.418354e-04
1.671000000000000e+03	5.375427e+00	4.306534e+00	1.068709e+00	6.395624e-04	6.396726e-04
1.681000000000000e+03	5.377343e+00	4.305665e+00	1.071494e+00	6.374146e-04	6.375244e-04
1.691000000000000e+03	5.379246e+00	4.304801e+00	1.074260e+00	6.352811e-04	6.353905e-04
1.701000000000000e+03	5.381137e+00	4.303943e+00	1.077008e+00	6.331618e-04	6.332709e-04
1.711000000000000e+03	5.383015e+00	4.303091e+00	1.079738e+00	6.310566e-04	6.311653e-04
1.721000000000000e+03	5.384880e+00	4.302244e+00	1.082449e+00	6.289654e-04	6.290738e-04
1.731000000000000e+03	5.386733e+00	4.301403e+00	1.085143e+00	6.268880e-04	6.269960e-04
1.741000000000000e+03	5.388574e+00	4.300568e+00	1.087819e+00	6.248243e-04	6.249319e-04
1.751000000000000e+03	5.390403e+00	4.299738e+00	1.090477e+00	6.227741e-04	6.228814e-04
1.761000000000000e+03	5.392220e+00	4.298913e+00	1.093118e+00	6.207373e-04	6.208443e-04
1.771000000000000e+03	5.394025e+00	4.298094e+00	1.095742e+00	6.187138e-04	6.188204e-04
1.781000000000000e+03	5.395818e+00	4.297280e+00	1.098349e+00	6.167035e-04	6.168098e-04
1.791000000000000e+03	5.397600e+00	4.296472e+00	1.100939e+00	6.147062e-04	6.148121e-04
1.801000000000000e+03	5.399370e+00	4.295668e+00	1.103512e+00	6.127218e-04	6.128273e-04
1.811000000000000e+03	5.401129e+00	4.294870e+00	1.106068e+00	6.107501e-04	6.108553e-04
1.821000000000000e+03	5.402876e+00	4.294077e+00	1.108609e+00	6.087911e-04	6.088960e-04
1.831000000000000e+03	5.404613e+00	4.293289e+00	1.111133e+00	6.068446e-04	6.069492e-04
1.841000000000000e+03	5.406338e+00	4.292506e+00	1.113640e+00	6.049105e-04	6.050148e-04
1.851000000000000e+03	5.408052e+00	4.291728e+00	1.116132e+00	6.029888e-04	6.030927e-04
1.861000000000000e+03	5.409756e+00	4.290955e+00	1.118608e+00	6.010791e-04	6.011827e-04
1.871000000000000e+03	5.411448e+00	4.290187e+00	1.121069e+00	5.991816e-04	5.992848e-04
1.881000000000000e+03	5.413131e+00	4.289423e+00	1.123514e+00	5.972960e-04	5.973989e-04
1.891000000000000e+03	5.414802e+00	4.288665e+00	1.125943e+00	5.954222e-04	5.955248e-04
1.901000000000000e+03	5.416463e+00	4.287911e+00	1.128358e+00	5.935602e-04	5.936624e-04
1.911000000000000e+03	5.418114e+00	4.287162e+00	1.130757e+00	5.917097e-04	5.918117e-04
1.921000000000000e+03	5.419755e+00	4.286417e+00	1.133142e+00	5.898707e-04	5.899724e-04
1.931000000000000e+03	5.421385e+00	4.285677e+00	1.135511e+00	5.880432e-04	5.881445e-04
1.941000000000000e+03	5.423005e+00	4.284942e+00	1.137866e+00	5.862269e-04	5.863279e-04
1.951000000000000e+03	5.424615e+00	4.284212e+00	1.140207e+00	5.844219e-04	5.845226e-04
1.961000000000000e+03	5.426215e+00	4.283485e+00	1.142533e+00	5.826279e-04	5.827282e-04
1.971000000000000e+03	5.427806e+00	4.282763e+00	1.144845e+00	5.808449e-04	5.809449e-04
1.981000000000000e+03	5.429387e+00	4.282046e+00	1.147143e+00	5.790727e-04	5.791725e-04
1.991000000000000e+03	5.430958e+00	4.281333e+00	1.149427e+00	5.773114e-04	5.774108e-04
2.001000000000000e+03	5.432519e+00	4.280624e+00	1.151697e+00	5.755607e-04	5.756599e-04
2.011000000000000e+03	5.434072e+00	4.279920e+00	1.153953e+00	5.738206e-04	5.739194e-04
2.021000000000000e+03	5.435615e+00	4.279220e+00	1.156196e+00	5.720910e-04	5.721896e-04
2.031000000000000e+03	5.437148e+00	4.278523e+00	1.158425e+00	5.703718e-04	5.704701e-04
2.041000000000000e+03	5.438673e+00	4.277832e+00	1.160641e+00	5.686629e-04	5.687609e-04
2.051000000000000e+03	5.440188e+00	4.277144e+00	1.162844e+00	5.669642e-04	5.670619e-04
2.061000000000000e+03	5.441694e+00	4.276461e+00	1.165033e+00	5.652756e-04	5.653730e-04
2.071000000000000e+03	5.443192e+00	4.275781e+00	1.167210e+00	5.635971e-04	5.636942e-04
2.081000000000000e+03	5.444680e+00	4.275105e+00	1.169373e+00	5.619285e-04	5.620253e-04
2.091000000000000e+03	5.446160e+00	4.274434e+00	1.171524e+00	5.602697e-04	5.603663e-04
2.101000000000000e+03	5.447631e+00	4.273767e+00	1.173662e+00	5.586207e-04	5.587170e-04
2.111000000000000e+03	5.449093e+00	4.273103e+00	1.175788e+00	5.569814e-04	5.570774e-04
2.121000000000000e+03	5.450547e+00	4.272443e+00	1.177901e+00	5.553517e-04	5.554474e-04
2.131000000000000e+03	5.451992e+00	4.271787e+00	1.180002e+00	5.537315e-04	5.538269e-04
2.141000000000000e+03	5.453429e+00	4.271135e+00	1.182090e+00	5.521207e-04	5.522158e-04
2.151000000000000e+03	5.454858e+00	4.270487e+00	1.184167e+00	5.505193e-04	5.506141e-04
2.161000000000000e+03	5.456278e+00	4.269842e+00	1.186231e+00	5.489271e-04	5.490217e-04
2.171000000000000e+03	5.457690e+00	4.269201e+00	1.188284e+00	5.473441e-04	5.474384e-04
2.181000000000000e+03	5.459094e+00	4.268564e+00	1.190325e+00	5.457702e-04	5.458642e-04
2.191000000000000e+03	5.460490e+00	4.267931e+00	1.192354e+00	5.442054e-04	5.442991e-04
2.201000000000000e+03	5.461878e+00	4.267301e+00	1.194371e+00	5.426494e-04	5.427430e-04
2.211000000000000e+03	5.463258e+00	4.266675e+00	1.196377e+00	5.411024e-04	5.411956e-04
2.221000000000000e+03	5.464630e+00	4.266052e+00	1.198372e+00	5.395642e-04	5.396571e-04
2.231000000000000e+03	5.465994e+00	4.265432e+00	1.200355e+00	5.380346e-04	5.381273e-04
2.241000000000000e+03	5.467351e+00	4.264817e+00	1.202327e+00	5.365137e-04	5.366062e-04
2.251000000000000e+03	5.468700e+00	4.264205e+00	1.204288e+00	5.350015e-04	5.350936e-04
2.261000000000000e+03	5.470042e+00	4.263596e+00	1.206238e+00	5.334977e-04	5.335896e-04
2.271000000000000e+03	5.471375e+00	4.262990e+00	1.208177e+00	5.320022e-04	5.320939e-04
2.281000000000000e+03	5.472702e+00	4.262388e+00	1.210105e+00	5.305153e-04	5.306067e-04
2.291000000000000e+03	5.474021e+00	4.261790e+00	1.212023e+00	5.290365e-04	5.291277e-04
2.301000000000000e+03	5.475333e+00	4.261194e+00	1.213929e+00	5.275660e-04	5.276569e-04
2.311000000000000e+03	5.476637e+00	4.260602e+00	1.215826e+00	5.261037e-04	5.261943e-04
2.321000000000000e+03	5.477935e+00	4.260014e+00	1.217711e+00	5.246494e-04	5.247398e-04
2.331000000000000e+03	5.479225e+00	4.259428e+00	1.219586e+00	5.232032e-04	5.232933e-04
2.341000000000000e+03	5.480508e+00	4.258846e+00	1.221452e+00	5.217649e-04	5.218547e-04
2.351000000000000e+03	5.481784e+00	4.258267e+00	1.223306e+00	5.203345e-04	5.204241e-04
2.361000000000000e+03	5.483053e+00	4.257691e+00	1.225151e+00	5.189119e-04	5.190013e-04
2.371000000000000e+03	5.484315e+00	4.257118e+00	1.226985e+00	5.174970e-04	5.175862e-04
2.381000000000000e+03	5.485570e+00	4.256548e+00	1.228810e+00	5.160899e-04	5.161788e-04
2.391000000000000e+03	5.486819e+00	4.255982e+00	1.230625e+00	5.146904e-04	5.147791e-04
2.401000000000000e+03	5.488060e+00	4.255418e+00	1.232430e+00	5.132984e-04	5.133869e-04
2.411000000000000e+03	5.489295e+00	4.254858e+00	1.234225e+00	5.119140e-04	5.120022e-04
2.421000000000000e+03	5.490524e+00	4.254301e+00	1.236010e+00	5.105370e-04	5.106250e-04
2.431000000000000e+03	5.491745e+00	4.253746e+00	1.237786e+00	5.091674e-04	5.092552e-04
2.441000000000000e+03	5.492960e+00	4.253195e+00	1.239552e+00	5.078051e-04	5.078926e-04
2.451000000000000e+03	5.494169e+00	4.252646e+00	1.241309e+00	5.064502e-04	5.065374e-04
2.461000000000000e+03	5.495372e+00	4.252100e+00	1.243057e+00	5.051024e-04	5.051894e-04
2.471000000000000e+03	5.496568e+00	4.251558e+00	1.244795e+00	5.037618e-04	5.038485e-04
2.481000000000000e+03	5.497757e+00	4.251018e+00	1.246524e+00	5.024282e-04	5.025148e-04
2.491000000000000e+03	5.498940e+00	4.250481e+00	1.248244e+00	5.011017e-04	5.011880e-04
2.501000000000000e+03	5.500117e+00	4.249947e+00	1.249955e+00	4.997822e-04	4.998684e-04
2.511000000000000e+03	5.501288e+00	4.249415e+00	1.251657e+00	4.984697e-04	4.985555e-04
2.521000000000000e+03	5.502453e+00	4.248887e+00	1.253350e+00	4.971640e-04	4.972496e-04
2.531000000000000e+03	5.503612e+00	4.248361e+00	1.255035e+00	4.958651e-04	4.959505e-04
2.541000000000000e+03	5.504764e+00	4.247838e+00	1.256710e+00	4.945730e-04	4.946582e-04
2.551000000000000e+03	5.505911e+00	4.247317e+00	1.258377e+00	4.932876e-04	4.933726e-04
2.561000000000000e+03	5.507051e+00	4.246800e+00	1.260035e+00	4.920089e-04	4.920936e-04
2.571000000000000e+03	5.508186e+00	4.246285e+00	1.261684e+00	4.907367e-04	4.908213e-04
2.581000000000000e+03	5.509315e+00	4.245772e+00	1.263325e+00	4.894712e-04	4.895555e-04
2.591000000000000e+03	5.510438e+00	4.245263e+00	1.264958e+00	4.882122e-04	4.882963e-04
2.601000000000000e+03	5.511556e+00	4.244756e+00	1.266582e+00	4.869596e-04	4.870435e-04
2.611000000000000e+03	5.512668e+00	4.244251e+00	1.268198e+00	4.857134e-04	4.857971e-04
2.621000000000000e+03	5.513773e+00	4.243749e+00	1.269805e+00	4.844736e-04	4.845571e-04
2.631000000000000e+03	5.514874e+00	4.243250e+00	1.271405e+00	4.832401e-04	4.833234e-04
2.641000000000000e+03	5.515968e+00	4.242753e+00	1.272996e+00	4.820129e-04	4.820959e-04
2.651000000000000e+03	5.517058e+00	4.242259e+00	1.274579e+00	4.807919e-04	4.808747e-04
2.661000000000000e+03	5.518141e+00	4.241767e+00	1.276155e+00	4.795771e-04	4.796597e-04
2.671000000000000e+03	5.519219e+00	4.241278e+00	1.277722e+00	4.783683e-04	4.784507e-04
2.681000000000000e+03	5.520292e+00	4.240791e+00	1.279281e+00	4.771657e-04	4.772479e-04
2.691000000000000e+03	5.521360e+00	4.240306e+00	1.280833e+00	4.759691e-04	4.760511e-04
2.701000000000000e+03	5.522422e+00	4.239824e+00	1.282377e+00	4.747785e-04	4.748603e-04
