Time (min),Force (N),Position (mm)
1.34,302,3.3987
1.34,302,3.4030
1.35,303,3.4072
1.35,302,3.4114
1.35,302,3.4157
1.35,303,3.4203
1.35,303,3.4246
1.35,303,3.4287
1.36,303,3.4328
1.36,302,3.4369
1.36,303,3.4411
1.36,303,3.4453
1.36,303,3.4495
1.36,302,3.4538
1.37,303,3.4582
1.37,303,3.4627
1.37,303,3.4669
1.37,303,3.4710
1.37,303,3.4751
1.37,303,3.4792
1.38,303,3.4834
1.38,303,3.4877
1.38,303,3.4919
1.38,303,3.4962
1.38,303,3.5007
1.38,303,3.5050
1.39,303,3.5092
1.39,303,3.5132
1.39,303,3.5174
1.39,303,3.5215
1.39,303,3.5257
1.39,303,3.5300
1.40,303,3.5343
1.40,303,3.5386
1.40,303,3.5431
1.40,303,3.5473
1.40,303,3.5514
1.40,303,3.5555
1.41,303,3.5596
1.41,303,3.5638
1.41,303,3.5681
1.41,303,3.5723
1.41,303,3.5767
1.41,303,3.5811
1.42,303,3.5855
1.42,303,3.5896
1.42,303,3.5936
1.42,303,3.5978
1.42,303,3.6019
1.42,303,3.6062
1.43,303,3.6104
1.43,303,3.6147
1.43,304,3.6191
1.43,303,3.6235
1.43,303,3.6278
1.43,303,3.6318
1.44,304,3.6360
1.44,303,3.6401
1.44,303,3.6443
1.44,303,3.6485
1.44,303,3.6528
1.44,304,3.6571
1.45,303,3.6616
1.45,303,3.6659
1.45,304,3.6701
1.45,304,3.6741
1.45,304,3.6783
1.45,303,3.6824
1.46,303,3.6867
1.46,303,3.6909
1.46,304,3.6952
1.46,304,3.6996
1.46,304,3.7040
1.46,304,3.7083
1.47,304,3.7123
1.47,304,3.7164
1.47,303,3.7206
1.47,304,3.7248
1.47,304,3.7290
1.47,304,3.7332
1.48,304,3.7376
1.48,304,3.7421
1.48,304,3.7464
1.48,304,3.7505
1.48,304,3.7546
1.48,304,3.7588
1.49,304,3.7629
1.49,304,3.7671
1.49,304,3.7714
1.49,304,3.7756
1.49,304,3.7800
1.49,304,3.7844
1.50,304,3.7887
1.50,304,3.7928
1.50,304,3.7968
1.50,304,3.8010
1.50,304,3.8052
1.50,304,3.8094
1.51,304,3.8137
1.51,304,3.8180
1.51,304,3.8225
1.51,304,3.8269
1.51,304,3.8311
1.51,304,3.8352
1.52,304,3.8393
1.52,304,3.8435
1.52,304,3.8477
1.52,304,3.8519
1.52,304,3.8562
1.52,304,3.8606
1.53,304,3.8650
1.53,304,3.8693
1.53,305,3.8733
1.53,305,3.8774
1.53,304,3.8816
1.53,304,3.8858
1.54,305,3.8900
1.54,305,3.8942
1.54,304,3.8986
1.54,305,3.9031
1.54,304,3.9074
1.54,305,3.9116
1.55,305,3.9156
1.55,304,3.9198
1.55,304,3.9239
1.55,305,3.9281
1.55,305,3.9324
1.55,305,3.9366
1.56,305,3.9410
1.56,305,3.9455
1.56,305,3.9498
1.56,305,3.9538
1.56,305,3.9579
1.56,304,3.9621
1.57,305,3.9663
1.57,305,3.9705
1.57,305,3.9748
1.57,305,3.9791
1.57,305,3.9835
1.57,304,3.9879
1.58,305,3.9920
1.58,305,3.9961
1.58,305,4.0002
1.58,305,4.0044
1.58,305,4.0086
1.58,305,4.0128
1.59,305,4.0171
1.59,305,4.0215
1.59,305,4.0260
1.59,305,4.0302
1.59,305,4.0343
1.59,305,4.0384
1.60,305,4.0425
1.60,305,4.0467
1.60,305,4.0509
1.60,305,4.0552
1.60,305,4.0595
1.60,305,4.0639
1.61,305,4.0684
1.61,305,4.0725
1.61,305,4.0766
1.61,305,4.0807
1.61,306,4.0849
1.61,305,4.0891
1.62,305,4.0933
1.62,305,4.0976
1.62,305,4.1019
1.62,305,4.1064
1.62,306,4.1107
